"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"KITIMAT TOWNSITE","54.054","-128.634","BC","-0.6","18","0.2","5.0","18","-17.0","6","4.0","6",NA,"89.0","6",NA,"0.0","13","","",NA,"241.8","0.0","1064320"
"KITIMAT 2","54.010","-128.705","BC","-2.2","7","-2.0","8.0","7","-15.0","7","1.0","7",NA,"89.3","7",NA,"0.0","10","","",NA,"484.6","0.0","1064321"
"LUCY ISLAND LIGHTSTATION","54.296","-130.609","BC","4.8","0",NA,"14.7","0","-4.1","0","",,NA,"",,NA,"","","",,NA,"410.2","0.0","1064728"
"MCINNES ISLAND","52.262","-128.719","BC","5.4","0","0.4","16.0","0","-2.0","0","3.0","0","28.0","139.6","0","48.0","0.0","17","",,NA,"391.1","0.0","1065010"
"PRINCE RUPERT","54.286","-130.445","BC","2.3","9",NA,"13.9","9","-9.6","9","",,NA,"76.1","9",NA,"","9","",,NA,"345.2","0.0","1066482"
"PRINCE RUPERT MONT CIRC","54.320","-130.290","BC","",,NA,"",,"",,"4.0","23",NA,"91.6","23",NA,"","6","","",NA,"","","1066488"
"TERRACE PCC","54.502","-128.625","BC","-1.8","2","-0.4","4.5","2","-14.5","2","4.0","2",NA,"28.4","2",NA,"3.0","7","","",NA,"573.5","0.0","1068131"
"TERRACE A","54.469","-128.578","BC","-3.8","0",NA,"4.2","0","-15.3","0","9.2","0",NA,"31.3","0",NA,"0.0","9","",,NA,"675.3","0.0","1068134"
"TRIPLE ISLAND","54.295","-130.880","BC","5.2","0",NA,"15.0","0","-4.0","0","0.0","0",NA,"61.2","0",NA,"0.0","13","","",NA,"395.8","0.0","1068250"
"EQUITY SILVER","54.199","-126.277","BC","-10.2","0","-2.7","5.5","0","-30.0","0","22.8","0","41.0","22.8","0","40.0","0.0","7","","",NA,"874.1","0.0","1072692"
"HOUSTON","54.396","-126.668","BC","-10.3","8",NA,"3.0","8","-28.0","8","4.0","17",NA,"4.0","17",NA,"33.0","2","","",NA,"650.7","0.0","1073615"
"SMITHERS","54.825","-127.183","BC","-12.3","11",NA,"1.3","10","-28.8","11","",,NA,"1.4","10",NA,"","0","",,NA,"606.1","0.0","1077499"
"SMITHERS A","54.825","-127.183","BC","-9.2","0","-2.0","2.0","0","-29.5","0","15.4","0","34.0","9.2","0","22.0","36.0","5","","",NA,"842.7","0.0","1077500"
"SMITHERS AIRPORT AUTO","54.824","-127.189","BC","-10.1","0",NA,"1.4","0","-30.9","0","",,NA,"1.6","30",NA,"33.0","1","",,NA,"870.2","0.0","1077501"
"SUSKWA VALLEY","55.289","-127.171","BC","-9.2","1","-4.1","1.5","1","-24.5","1","22.6","1",NA,"25.8","1",NA,"34.0","8","","",NA,"817.2","0.0","107G879"
"OOTSA LAKESKINS LAKE CLIMATE","53.772","-125.997","BC","-7.4","0",NA,"5.7","0","-23.8","0","",,NA,"7.5","0",NA,"23.0","2","",,NA,"787.3","0.0","1085836"
"PEMBERTON AIRPORT CS","50.306","-122.734","BC","-2.6","0",NA,"5.5","0","-12.6","0","",,NA,"57.3","0",NA,"24.0","9","",,NA,"638.3","0.0","1086082"
"PUNTZI MOUNTAIN (AUT)","52.114","-124.136","BC","-11.8","0",NA,"4.2","0","-33.5","0","",,NA,"12.3","0",NA,"19.0","4","",,NA,"924.5","0.0","1086558"
"TATLAYOKO LAKE RCS","51.675","-124.403","BC","-8.4","0",NA,"6.4","0","-27.3","0","",,NA,"13.4","0",NA,"17.0","5","",,NA,"818.9","0.0","1088015"
"BURNS LAKE DECKER LAKE","54.383","-125.959","BC","-12.1","0",NA,"2.6","0","-33.9","0","",,NA,"4.2","0",NA,"34.0","2","",,NA,"934.0","0.0","1091174"
"FORT ST JAMES","54.455","-124.286","BC","-6.8","17","1.0","3.0","17","-26.5","17","0.0","17",NA,"0.6","17",NA,"","0","","",NA,"346.7","0.0","1092970"
"FORT ST JAMES AUTO","54.455","-124.286","BC","-8.9","0",NA,"3.9","0","-28.2","0","",,NA,"1.2","0",NA,"17.0","0","",,NA,"834.2","0.0","1092975"
"MCLEESE LAKE GRANITE MT","52.531","-122.286","BC","-6.2","22",NA,"6.0","17","-27.0","16","22.8","17",NA,"22.8","17",NA,"","5","","",NA,"218.0","0.0","1095018"
"PRINCE GEORGE","53.884","-122.678","BC","-9.8","7",NA,"4.0","7","-33.0","7","",,NA,"6.7","7",NA,"","2","",,NA,"667.2","0.0","1096439"
"PRINCE GEORGE AIRPORT AUTO","53.889","-122.672","BC","-10.0","0",NA,"4.2","0","-32.8","0","",,NA,"12.7","0",NA,"14.0","3","",,NA,"868.0","0.0","1096453"
